province,fire_id,latitude,longitude,year,size_ha,cause
Saskatchewan,15PA-PAST01,52.679432,-106.019955,2015,200.0,Human
British Columbia,2015-C20006,51.8499,-122.4824,2015,355.0,Human
Ontario,RED1,51.2033,-92.6207,2014,220.0,Unknown
Alberta,PWF116,55.909183,-116.9768,2014,353.0,Human
Manitoba,NE125,57.837778,-100.250833,2014,1178.7,Natural
Northwest Territories,ZF143-14,62.276666,-115.622833,2014,701.9,Natural
Northwest Territories,SS152-14,61.386333,-119.073166,2014,372.93,Natural
Saskatchewan,14LX-OTTER,56.7583,-107.296933,2014,276.8,Natural
Northwest Territories,SS147-14,60.040333,-107.616166,2014,300.0,Natural
Northwest Territories,SS143-14,60.524333,-113.8975,2014,1893.65,Natural
Northwest Territories,FS052-14,62.1175,-123.088333,2014,704.8,Natural
British Columbia,2014-G60456,55.2978,-122.5094,2014,1541.56,Natural
British Columbia,2014-G70476,55.2183,-122.1644,2014,215.0,Natural
British Columbia,2014-C50158,52.7283,-124.2766,2014,609.0,Natural
Saskatchewan,14BN-JAZZ,58.760283,-109.952483,2014,774.3,Natural
British Columbia,2014-G80439,57.5179,-121.8855,2014,4057.0,Natural
Northwest Territories,SS140-14,60.379333,-110.914666,2014,684.42,Natural
British Columbia,2014-G80434,56.5075,-123.0254,2014,827.0,Natural
Manitoba,NE106,53.327778,-96.496389,2014,308.1,Natural
British Columbia,2014-R20116,54.3696,-126.4297,2014,3450.0,Natural
British Columbia,2014-C50145,52.1012,-123.5851,2014,940.0,Human
Saskatchewan,14SR-STROME,59.484283,-108.0005,2014,430.9,Natural
Manitoba,NE102,53.429167,-95.895833,2014,362.5,Natural
Saskatchewan,14LX-STUDER2,56.171733,-107.25335,2014,407.8,Natural
Saskatchewan,14BN-COOL,57.216383,-108.532867,2014,905.6,Natural
Northwest Territories,ZF133-14,62.7675,-114.6415,2014,2000.0,Natural
Saskatchewan,14LA-WEKKA,54.93,-104.2,2014,1092.1,Natural
Saskatchewan,14LX-BARR,57.2363,-107.171267,2014,12993.0,Natural
Manitoba,NE135,56.523333,-91.206667,2014,587.4,Natural
Quebec,2014-254,51.2269,-60.9008,2014,521.2,Natural
Northwest Territories,SS137-14,60.612166,-112.037833,2014,8845.88,Natural
British Columbia,2014-N20399,50.1109,-115.0812,2014,232.0,Natural
Saskatchewan,14LX-GROAT,57.641083,-106.56905,2014,2218.0,Natural
Saskatchewan,14LA-ISAAC,56.769933,-102.22175,2014,511.4,Natural
British Columbia,2014-G60369,56.1415,-125.0881,2014,1998.2,Natural
